currencyPurchase,pricePurchase,expensesCurrency,expensesPrice,direcction,coveredArea,bedrooms,antiquity,toilets,environments,garages,condition,provision
USD,420.000,$,32.000,REPUBLICA DE LA INDIA  2900,90,2,15,2,3,1,Excelente ,Contrafrente 
USD,305.000,$,60.000,AV. SANTA FE 3300,165,4,10000,4,5,1,Excelente ,Frente 
USD,220.000,$,29.000,LAFINUR  2900,85,2,10000,2,3,0,Excelente ,Contrafrente 
USD,555.000,$,48.000,REPUBLICA DE LA INDIA  2900,130,3,15,3,4,1,Excelente ,Frente 
USD,87.000,$,8.000,Republica de la India  2800,35,1,10000,1,2,0,Excelente ,Contrafrente 
USD,230.000,$,9.000,JUAN MARIA GUTIERREZ  3800,95,2,10000,2,3,0,Excelente ,Frente 
USD,340.000,$,22.000,Charcas 4000,75,2,10000,2,3,1,Excelente ,Contrafrente 
USD,103.000,$,7.000,REPUBLICA DE LA INDIA 2800,35,1,10000,1,2,0,Excelente ,Frente 
USD,327.000,$,32.000,PARAGUAY  5600,115,2,14,2,3,1,Excelente ,Frente 
USD,330.000,$,15.000,Scalabrini Ortiz 1500,106,3,10000,3,4,2,Excelente ,Frente 
USD,215.000,$,25.000,Honduras 3900,95,2,10000,2,3,0,Excelente ,Contrafrente 
USD,365.000,$,18.000,BERUTI 3800,96,2,10000,2,3,0,Excelente ,Contrafrente 
USD,1.950.000,$,32.000,Castex 3500,407,4,26,4,5,2,Excelente ,Contrafrente 
USD,156.000,$,9.000,PARAGUAY al 5300,55,1,10000,2,2,0, ,Contrafrente 
USD,163.000,$,19.900,santa fe,0,3,10000,1,4,0,Excelente ,Contra Frente 
USD,90.000,$,16.956,Vidt 1900,0,1,10000,1,2,0,Bueno ,Frente 
USD,150.000,$,13.000,Guatemala 6000,50,1,10000,2,2,0,Excelente ,Contrafrente 
USD,79.000,$,16.000,SERRANO entre VERA y RAMIREZ DE VELAZCO,29,Monoambiente,4,1,1,0, ,Frente 
USD,65.000,$,9.500,Concepción Arenal al 2300,34,1,24,1,2,0, ,
USD,68.500,$,32.000,"CORDOBA AV 5000, Piso 6",29,Monoambiente,10000,1,1,0,Bueno ,Frente 
