name,year,km,amount,currenly,ubication,date,url
Peugeot 208 1.2 Like,2022,19.0,5.600.000,$,Escobar ,8 días,https://auto.mercadolibre.com.ar/MLA-1159840697-peugeot-2022-208-16-like-pack-l20-_JM#position=1&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 2008 1.6 Feline,2017,62.1,3.350.000,$,Capital Federal ,1 día,https://auto.mercadolibre.com.ar/MLA-1163146618-peugeot-2008-feline-no-208-cronos-308-pulse-nivus-ecosport-x-_JM#position=2&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Feline Tiptronic,2022,0.0,17.000,U$S,Escobar ,1 día,https://auto.mercadolibre.com.ar/MLA-1163221677-peugeot-208-feline-16-tiptronic-0km-robayna-gf-_JM#position=3&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 207 1.6 Xt Tiptronic,2012,89.1,3.789.900,$,Capital Federal ,6 días,https://auto.mercadolibre.com.ar/MLA-1160761400-peugeot-207-xt-tiptronic-premium-208-307-gol-fox-ka-fit-up-x-_JM#position=4&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Allure,2013,98.0,4.600.000,$,San Isidro ,7 días,https://auto.mercadolibre.com.ar/MLA-1160571603-peugeot-208-16-allure-ano-2013-liv-motors-_JM#position=5&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 408 1.6 Sport Thp 163cv,2015,69.0,2.289.900,$,Capital Federal ,8 días,https://auto.mercadolibre.com.ar/MLA-1159856182-peugeot-408-2015-16-sport-thp-163cv-no-408-cc-c3-208-2008-a-_JM#position=6&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Feline,2017,57.0,2.390.000,$,Capital Federal ,12 días,https://auto.mercadolibre.com.ar/MLA-1161596969-peugeot-208-feline-2017-pack-cuir-titular-impecable-_JM#position=7&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Style,2022,0.0,3.089.900,$,Capital Federal ,13 días,https://auto.mercadolibre.com.ar/MLA-1157625813-peugeot-208-style-0km-darc-peugeot-autos-_JM#position=8&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Feline Tiptronic,2022,0.0,3.799.000,$,La Matanza ,13 días,https://auto.mercadolibre.com.ar/MLA-1157363547-peugeot-208-feline-tiptronic-2022-0km-entrega-inmediata-_JM#position=9&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Style Tiptronic,2022,1.0,4.395.000,$,Ezeiza ,13 días,https://auto.mercadolibre.com.ar/MLA-1157342984-peugeot-208-16-style-tiptronic-2022-_JM#position=10&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Style Tiptronic,2022,0.0,6.100.000,$,La Matanza ,13 días,https://auto.mercadolibre.com.ar/MLA-1157361404-peugeot-208-style-16-automatico-0km-2022-entrega-inmediata-_JM#position=11&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Style,2022,0.0,26.000,U$S,La Matanza ,13 días,https://auto.mercadolibre.com.ar/MLA-1157361364-peugeot-208-style-16-manual-0km-2022-entrega-inmediata-_JM#position=12&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Allure Tiptronic,2022,0.0,5.050.000,$,La Matanza ,13 días,https://auto.mercadolibre.com.ar/MLA-1157328961-peugeot-208-allure-automatico-0km-2022-entrega-inmediata-_JM#position=13&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Allure,2022,0.0,4.700.000,$,La Matanza ,13 días,https://auto.mercadolibre.com.ar/MLA-1157167088-peugeot-208-allure-16-manual-0km-2022-entrega-inmediata-_JM#position=14&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Active Tiptronic,2022,0.0,5.005.100,$,La Matanza ,13 días,https://auto.mercadolibre.com.ar/MLA-1157508153-peugeot-208-active-tiptronic-16-0km-2022-entrega-inmediata-_JM#position=15&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Active,2022,0.0,4.785.000,$,La Matanza ,13 días,https://auto.mercadolibre.com.ar/MLA-1157348194-peugeot-208-active-manual-0km-2022-entrega-inmediata-_JM#position=16&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Like Pack,2022,0.0,4.500.000,$,La Matanza ,13 días,https://auto.mercadolibre.com.ar/MLA-1157489110-peugeot-208-like-pack-16-0km-2022-venta-contado-stock-fisic-_JM#position=17&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Active,2022,0.0,4.460.000,$,Capital Federal ,14 días,https://auto.mercadolibre.com.ar/MLA-1157043659-peugeot-208-active-mt-0km-entrega-inmediata-darc-_JM#position=18&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Feline Pack Cuir,2014,45.0,4.100.000,$,La Matanza ,16 días,https://auto.mercadolibre.com.ar/MLA-1155668232-peugeot-208-no-felline-no-gt-no-allure-_JM#position=19&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Allure Tiptronic,2020,40.001,4.062.900,$,Capital Federal ,16 días,https://auto.mercadolibre.com.ar/MLA-1155755970-peugeot-208-allure-tiptronic-16-no-feline-sport-gt-line-308-_JM#position=20&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Allure Tiptronic,2020,39.0,4.450.000,$,Capital Federal ,17 días,https://auto.mercadolibre.com.ar/MLA-1155464248-peugeot-208-2020-16-allure-tiptronic-no-feline-308-cruze-a-_JM#position=21&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Feline Tiptronic,2022,10.0,4.789.900,$,La Plata ,18 días,https://auto.mercadolibre.com.ar/MLA-1155422689-peugeot-208-16-feline-tiptronic-_JM#position=22&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Allure,2020,13.0,4.789.900,$,Capital Federal ,19 días,https://auto.mercadolibre.com.ar/MLA-1154309568-peugeot-208-2020-allure-mt-abasto-motors-_JM#position=23&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Feline Pack Cuir,2014,81.2,5.800.000,$,Berazategui ,19 días,https://auto.mercadolibre.com.ar/MLA-1154430834-peugeot-208-16-feline-pack-cuir-2014-_JM#position=24&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Feline Pack Cuir,2014,126.0,4.790.000,$,Berazategui ,25 días,https://auto.mercadolibre.com.ar/MLA-1151914787-peugeot-208-16-feline-pack-cuir-2014-_JM#position=25&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Allure Tiptronic,2022,0.0,2.950.000,$,Capital Federal ,33 días,https://auto.mercadolibre.com.ar/MLA-1149775769-peugeot-208-allure-tiptronic-0km-entrega-inmediata-darc-_JM#position=26&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Allure,2022,0.0,3.100.000,$,Capital Federal ,33 días,https://auto.mercadolibre.com.ar/MLA-1149764213-nuevo-peugeot-208-allure-mt-0km-darc-autos-_JM#position=27&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Like Pack,2021,0.0,4.845.000,$,Vicente López ,33 días,https://auto.mercadolibre.com.ar/MLA-1149688326-208-like-pack-16-2022-tomamos-tu-usado-cruze-etios-focus-3--_JM#position=28&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Active,2022,0.0,4.395.000,$,Capital Federal ,0,https://auto.mercadolibre.com.ar/MLA-1149178031-peugeot-208-0km-tomamos-tu-usado-entrega-inmediata-2--_JM#position=29&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Feline Pack Cuir,2015,85.0,3.598.300,$,Vicente López ,44 días,https://auto.mercadolibre.com.ar/MLA-1148072047-peugeot-208-2015-16-feline-pack-cuir-_JM#position=30&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.2 Like,2022,0.0,3.717.200,$,Capital Federal ,2 meses,https://auto.mercadolibre.com.ar/MLA-1145580507-peugeot-208-like-12-0km-plan-nacional-darc-autos-_JM#position=31&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.5 Active,2022,0.0,3.400.000,$,Capital Federal ,2 meses,https://auto.mercadolibre.com.ar/MLA-1145159024-nuevo-peugeot-208-like-12-2022-0km-anticipo-y-cuotas-d--_JM#position=32&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.2 Like,2022,0.0,1.890.000,$,Capital Federal ,2 meses,https://auto.mercadolibre.com.ar/MLA-1144904568-peugeot-208-12-like-0km-plan-nacional-darc-autos-_JM#position=33&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Feline Tiptronic,2021,0.0,3.200.700,$,Vicente López ,2 meses,https://auto.mercadolibre.com.ar/MLA-1148519543-peugeot-208-feline-tiptronic-as-_JM#position=34&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 Allure Tiptronic,2022,0.0,2.052.000,$,Vicente López ,2 meses,https://auto.mercadolibre.com.ar/MLA-1153515642-peugeot-208-allure-tiptronic-as-_JM#position=35&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Allure,2021,0.0,5.600.000,$,Vicente López ,2 meses,https://auto.mercadolibre.com.ar/MLA-1148507357-peugeot-208-allure-as-_JM#position=36&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 Style Tiptronic,2022,0.0,4.600.000,$,Vicente López ,2 meses,https://auto.mercadolibre.com.ar/MLA-1147233632-robayna-peugeot-208-style-tiptronic-16l-ano-2022-0-km-gris-_JM#position=37&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 Style,2022,0.0,4.600.000,$,Vicente López ,2 meses,https://auto.mercadolibre.com.ar/MLA-1147265701-robayna-peugeot-208-style-16-ano-2022-0-km-gris-blanco-_JM#position=38&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Active Tiptronic,2021,0.0,4.699.999,$,Vicente López ,2 meses,https://auto.mercadolibre.com.ar/MLA-1148022905-peugeot-208-active-tiptronic-as-_JM#position=39&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Active Tiptronic,2021,0.0,4.499.999,$,Vicente López ,2 meses,https://auto.mercadolibre.com.ar/MLA-1153573182-peugeot-208-active-tip-as-_JM#position=40&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6l Active,2021,0.0,4.500.000,$,Vicente López ,2 meses,https://auto.mercadolibre.com.ar/MLA-1147494879-peugeot-208-active-as-_JM#position=41&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
Peugeot 208 1.6 Active,2021,0.0,4.500.000,$,Vicente López ,2 meses,https://auto.mercadolibre.com.ar/MLA-1148500996-peugeot-208-active-as-_JM#position=42&search_layout=grid&type=item&tracking_id=e57925a6-dab3-4ba1-abfc-bbbfe279cecb
